"STNDR_DAYHMINSEC","MSNT_GPS_LAT","MSNT_GPS_LONG","CCTV_LOCA_EXPLN","PM25_CTRN_MM3","PM10_CTRN_MM3","NO2_CTRN_PPM","O3_CTRN_PPM","CO_CTRN_PPM","SO2_CTRN_PPM","RRGMNT_WGS84_LAT","RRGMNT_WGS84_LONG","RRGMNT_UTMK_Y_CRDNT","RRGMNT_UTMK_X_CRDNT","RRGMNT_1ST_TLLBADD","RRGMNT_2ND_TLLBADD","RRGMNT_3RD_TLLBADD"
"20251106044702","35.182542","128.125233","남강제지 앞","5.0","8.0","0.016","0.022","3.673","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106032402","35.182542","128.125233","남강제지 앞","8.0","14.0","0.017","0.022","3.706","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106064402","35.182542","128.125233","남강제지 앞","6.0","10.0","0.012","0.022","1.168","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106031702","35.182542","128.125233","남강제지 앞","5.0","8.0","0.019","0.022","3.416","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106071702","35.182542","128.125233","남강제지 앞","6.0","9.0","0.011","0.021","1.681","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106033101","35.182542","128.125233","남강제지 앞","6.0","9.0","0.016","0.022","3.966","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106071302","35.182542","128.125233","남강제지 앞","8.0","13.0","0.011","0.021","1.58","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106053002","35.182542","128.125233","남강제지 앞","6.0","9.0","0.014","0.022","2.497","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106054702","35.182542","128.125233","남강제지 앞","7.0","11.0","0.013","0.022","1.835","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106055902","35.182542","128.125233","남강제지 앞","6.0","9.0","0.013","0.022","1.554","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
